constraint_name,friendly_name,description,constraint_type,category,mandatory,repeatable,weight_range,typical_weight,use_case,target_entity,complexity_level,implementation_priority,common_parameters,example_scenario,benefits,warnings,best_practices
ConstraintSubjectActivityTagPreferredRooms,Subject Activity Tag Preferred Rooms,Links subject-activity tag combinations to multiple preferred rooms. Flexible specialized room assignment.,space,room_preference,true,true,0-100,80,Flexible specialized room assignment,subjects,medium,low,Active|Activity_Tag|Comments|Number_of_Preferred_Rooms|Preferred_Room|Subject|Weight_Percentage,Science practicals can use any of 2 lab rooms depending on equipment needs,Flexible specialized resource allocation,High configuration complexity,Use for complex subject requirements
ConstraintActivityPreferredRoom,Activity Preferred Room,Assigns a preferred room for a specific activity. Individual activity room preference.,space,room_preference,true,true,0-100,85,Individual activity room preference,activities,low,medium,Active|Activity_Id|Comments|Number_of_Real_Rooms|Permanently_Locked|Real_Room|Room|Weight_Percentage,Orchestra practice requires music room with piano and acoustic treatment,Specific activity requirements,May over-constrain scheduling,Use for truly unique requirements
ConstraintActivityPreferredRooms,Activity Preferred Rooms,Assigns multiple preferred rooms for a specific activity. Provides room options for individual activities.,space,room_preference,true,true,0-100,80,Provides room options for individual activities,activities,low,low,Active|Activity_Id|Comments|Number_of_Preferred_Rooms|Preferred_Room|Weight_Percentage,Drama class can use theater or large classroom with moveable furniture,Activity flexibility with options,Setup complexity,Limit options to truly suitable rooms
ConstraintActivityTagPreferredRoom,Activity Tag Preferred Room,Links activity tags to specific rooms. Room assignment based on activity type.,space,room_preference,true,true,0-100,80,Room assignment based on activity type,activities,medium,medium,Active|Activity_Tag|Comments|Room|Weight_Percentage,All laboratory activities require designated lab rooms for safety,Activity type safety requirements,Requires comprehensive activity tagging,Ensure consistent activity tag usage
ConstraintActivityTagPreferredRooms,Activity Tag Preferred Rooms,Links activity tags to multiple preferred rooms. Flexible room assignment by activity type.,space,room_preference,true,true,0-100,75,Flexible room assignment by activity type,activities,medium,low,Active|Activity_Tag|Comments|Number_of_Preferred_Rooms|Preferred_Room|Weight_Percentage,Computer activities can use any of 3 computer labs,Activity type flexibility,Complex room pool management,Ensure room equivalency
ConstraintTeacherHomeRoom,Teacher Home Room,Assigns a home room for a specific teacher. Reduces movement and provides teacher base.,space,home_room,false,true,0-100,75,Reduces movement and provides teacher base,teachers,low,medium,Active|Comments|Room|Teacher|Weight_Percentage,Grade 3 teacher has classroom 101 as permanent base,Reduces teacher movement and provides stability,May conflict with room optimization,Don't use with student home rooms
ConstraintTeacherHomeRooms,Teacher Home Rooms,Assigns multiple home rooms for a specific teacher. Provides room options while maintaining teacher base.,space,home_room,false,true,0-100,70,Provides room options while maintaining teacher base,teachers,low,low,Active|Comments|Number_of_Preferred_Rooms|Preferred_Room|Teacher|Weight_Percentage,Math teacher can use rooms 201 or 203 as base depending on class size,Flexible teacher base assignment,May reduce efficiency gains,Use only when necessary
ConstraintStudentsSetHomeRoom,Students Set Home Room,Assigns a home room for specific student groups. Maintains class identity and reduces movement.,space,home_room,false,true,0-100,80,Maintains class identity and reduces movement,students,low,medium,Active|Comments|Room|Students|Weight_Percentage,Class 5A has room 201 as home base for most subjects,Class identity and reduced student movement,May limit room utilization,Use for younger students primarily
ConstraintStudentsSetHomeRooms,Students Set Home Rooms,Assigns multiple home rooms for specific student groups. Provides room flexibility while maintaining group cohesion.,space,home_room,false,true,0-100,75,Provides room flexibility while maintaining group cohesion,students,low,low,Active|Comments|Number_of_Preferred_Rooms|Preferred_Room|Students|Weight_Percentage,Advanced placement students can use rooms 301 or 302 for intensive courses,Group cohesion with flexibility,Complex assignment logic,Use for specialized programs
ConstraintTeachersMaxBuildingChangesPerDay,Teachers Max Building Changes Per Day,Limits building changes for all teachers to reduce travel time and improve efficiency.,space,building_changes,true,false,0-100,85,Reduces travel time and improves efficiency,teachers,medium,medium,Active|Comments|Max_Building_Changes_Per_Day|Weight_Percentage,All teachers maximum 1 building change per day to reduce travel fatigue,Efficiency and reduced physical strain,May limit room optimization,Consider campus layout and distances
ConstraintTeacherMaxBuildingChangesPerDay,Teacher Max Building Changes Per Day,Limits building changes for specific teacher. Individual control over teacher movement.,space,building_changes,true,true,0-100,85,Individual control over teacher movement,teachers,medium,low,Active|Comments|Max_Building_Changes_Per_Day|Teacher|Weight_Percentage,Senior teacher maximum 1 building change due to mobility limitations,Accommodates individual needs,Requires individual management,Use for teachers with special needs
ConstraintStudentsSetMaxBuildingChangesPerDay,Students Set Max Building Changes Per Day,Limits building changes for specific student groups. Reduces student travel time and supervision issues.,space,building_changes,true,true,0-100,90,Reduces student travel time and supervision issues,students,medium,medium,Active|Comments|Max_Building_Changes_Per_Day|Students|Weight_Percentage,Elementary students maximum 1 building change per day for supervision,Age-appropriate movement management,May limit specialized room access,Balance supervision with facility access
ConstraintStudentsSetMinGapsBetweenBuildingChanges,Students Set Min Gaps Between Building Changes,Ensures minimum time between building changes for student groups. Allows adequate transition time.,space,building_changes,true,true,0-100,85,Allows adequate transition time,students,medium,low,Active|Comments|Min_Gaps_Between_Building_Changes|Students|Weight_Percentage,Middle school students minimum 1 period gap when changing buildings,Adequate transition and supervision time,May create scheduling gaps,Consider actual walking distances
ConstraintActivitiesOccupyMaxDifferentRooms,Activities Occupy Max Different Rooms,Limits the number of different rooms used by a set of activities. Promotes room efficiency and reduces setup.,space,room_efficiency,true,true,0-100,75,Promotes room efficiency and reduces setup,activities,medium,low,Active|Activity_Id|Comments|Max_Number_of_Different_Rooms|Number_of_Activities|Weight_Percentage,One teacher's activities use maximum 2 different rooms for equipment continuity,Equipment continuity and setup efficiency,May limit room optimization,Use only with easy timetables
ConstraintActivitiesSameRoomIfConsecutive,Activities Same Room If Consecutive,Ensures consecutive activities use the same room when possible. Reduces unnecessary movement.,space,room_efficiency,true,true,0-100,80,Reduces unnecessary movement,activities,medium,low,Active|Activity_Id|Comments|Number_of_Activities|Weight_Percentage,Double periods remain in same classroom to avoid disruption,Continuity and reduced disruption,May conflict with room preferences,Use only with easy timetables
